municipio,icms_25_por_cento,icms_liquido,ipi_25_por_cento,ipi_liquido,ipva_50_por_cento,ipva_liquido,mes_competencia,ano_competencia
ABAIARA,"408567,97","326854,38","1130,18","904,14","9727,12","7781,7",Abril,2013
ACARAPE,"252117,01","201693,61","697,4","557,92","21016,28","16813,02",Abril,2013
ACARAU,"648666,1","518932,88","1794,34","1435,47","123545,33","98836,26",Abril,2013
ACOPIARA,"319641,12","255712,9","884,19","707,35","80114,79","64091,83",Abril,2013
AIUABA,"201351,91","161081,53","556,98","445,58","9136,2","7308,96",Abril,2013
ALCANTARAS,"224252,82","179402,26","620,33","496,26","13720,17","10976,14",Abril,2013
ALTANEIRA,"219112,9","175290,32","606,11","484,89","10645,15","8516,12",Abril,2013
ALTO SANTO,"213796,31","171037,05","591,4","473,12","32220,31","25776,25",Abril,2013
AMONTADA,"380737,49","304589,99","1053,19","842,55","42497,41","33997,93",Abril,2013
ANTONINA DO,"281946,65","225557,32","779,92","623,94","8936,74","7149,39",Abril,2013
APUIARES,"186339,96","149071,97","515,45","412,36","14181,55","11345,24",Abril,2013
AQUIRAZ,"2161866,07","1729492,86","5980,14","4784,11","220117,93","176094,34",Abril,2013
ARACATI,"1358523,36","1086818,69","3757,94","3006,35","186090,03","148872,02",Abril,2013
ARACOIABA,"199275,72","159420,58","551,24","440,99","35735,63","28588,5",Abril,2013
ARARENDA,"253456,21","202764,97","701,11","560,89","11086,55","8869,24",Abril,2013
ARARIPE,"248936,07","199148,86","688,61","550,89","26479,87","21183,9",Abril,2013
ARATUBA,"193438,91","154751,13","535,09","428,07","11574,92","9259,94",Abril,2013
ARNEIROZ,"165768,97","132615,18","458,55","366,84","7557,6","6046,08",Abril,2013
ASSARE,"234893,99","187915,19","649,76","519,81","35206,65","28165,32",Abril,2013
AURORA,"189032,76","151226,21","522,9","418,32","31461,37","25169,1",Abril,2013
BAIXIO,"298122,77","238498,22","824,67","659,74","11059,06","8847,25",Abril,2013
BANABUIU,"296285,81","237028,65","819,58","655,66","26066,47","20853,18",Abril,2013
BARBALHA,"949621,37","759697,1","2626,84","2101,47","169740,39","135792,31",Abril,2013
BARREIRA,"266555,74","213244,59","737,34","589,87","39272,06","31417,65",Abril,2013
BARRO,"207977,15","166381,72","575,31","460,25","23979,59","19183,67",Abril,2013
BARROQUINHA,"214726,04","171780,83","593,97","475,18","13065,14","10452,11",Abril,2013
BATURITE,"283566,82","226853,46","784,4","627,52","78013,11","62410,49",Abril,2013
BEBERIBE,"549881,72","439905,38","1521,08","1216,86","76947,23","61557,78",Abril,2013
BELA CRUZ,"248423,84","198739,07","687,19","549,75","45771,02","36616,82",Abril,2013
BOA VIAGEM,"276781,02","221424,82","765,63","612,5","86676,43","69341,14",Abril,2013
BREJO SANTO,"445790,36","356632,29","1233,14","986,51","156651,71","125321,37",Abril,2013
CAMOCIM,"556017,2","444813,76","1538,05","1230,44","124376,15","99500,92",Abril,2013
CAMPOS SALES,"323586,41","258869,13","895,1","716,08","50497,61","40398,09",Abril,2013
CANINDE,"355042,64","284034,11","982,12","785,7","154669,68","123735,74",Abril,2013
CAPISTRANO,"296791,61","237433,29","820,98","656,78","19338,06","15470,45",Abril,2013
CARIDADE,"235868,65","188694,92","652,46","521,97","15812,85","12650,28",Abril,2013
CARIRE,"332289,45","265831,56","919,18","735,34","20339,29","16271,43",Abril,2013
CARIRIACU,"235717,74","188574,19","652,04","521,63","30873,94","24699,15",Abril,2013
CARIUS,"214782,22","171825,78","594,13","475,3","42450,25","33960,2",Abril,2013
CARNAUBAL,"342816,6","274253,28","948,3","758,64","19667,76","15734,21",Abril,2013
CASCAVEL,"554629,82","443703,86","1534,21","1227,37","146227,54","116982,03",Abril,2013
CATARINA,"285989,85","228791,88","791,1","632,88","16225,02","12980,02",Abril,2013
CATUNDA,"254090,47","203272,38","702,86","562,29","9548,1","7638,48",Abril,2013
CAUCAIA,"5095369,8","4076295,84","14094,78","11275,82","932709,85","746167,88",Abril,2013
CEDRO,"259649,5","207719,6","718,24","574,59","32865,5","26292,4",Abril,2013
CHAVAL,"234789,62","187831,7","649,47","519,58","11842,48","9473,98",Abril,2013
CHORO,"198485,71","158788,57","549,05","439,24","7969,05","6375,24",Abril,2013
CHOROZINHO,"255066,75","204053,4","705,56","564,45","36443,88","29155,1",Abril,2013
COREAU,"251285,25","201028,2","695,1","556,08","27626,31","22101,05",Abril,2013
CRATEUS,"515429,22","412343,38","1425,78","1140,62","210230,52","168184,42",Abril,2013
CRATO,"1268564,02","1014851,22","3509,09","2807,27","486560,07","389248,06",Abril,2013
CROATA,"267053,51","213642,81","738,72","590,98","20289,99","16231,99",Abril,2013
CRUZ,"326014,25","260811,4","901,82","721,46","46078,78","36863,02",Abril,2013
DEPUTADO IRAPUAN,"300390,04","240312,03","830,94","664,75","7871,72","6297,38",Abril,2013
ERERE,"146630,3","117304,24","405,61","324,49","3416,67","2733,34",Abril,2013
EUSEBIO,"3171620,4","2537296,32","8773,32","7018,66","459482,57","367586,06",Abril,2013
FARIAS BRITO,"279035,49","223228,39","771,87","617,5","24367,42","19493,94",Abril,2013
FORQUILHA,"372323,47","297858,78","1029,92","823,94","43243,99","34595,19",Abril,2013
FORTALEZA,"62465353,04","49972282,43","172791,26","138233,01","22162459,82","17729967,86",Abril,2013
FORTIM,"344321,17","275456,94","952,46","761,97","26530,53","21224,42",Abril,2013
FRECHEIRINHA,"292994,05","234395,24","810,48","648,38","24401,19","19520,95",Abril,2013
GENERAL SAMPAIO,"203839,21","163071,37","563,86","451,09","5990,74","4792,59",Abril,2013
GRACA,"304052,7","243242,16","841,07","672,86","9881,53","7905,22",Abril,2013
GRANJEIRO,"222351,64","177881,31","615,07","492,06","5498,23","4398,58",Abril,2013
GROAIRAS,"349160,84","279328,67","965,85","772,68","22654,26","18123,41",Abril,2013
GUAIUBA,"291711,07","233368,86","806,93","645,54","28448,2","22758,56",Abril,2013
GUARACIABA,"393077,5",314462,"1087,33","869,86","123558,25","98846,6",Abril,2013
GUARAMIRANGA,"155362,26","124289,81","429,76","343,81","11729,71","9383,77",Abril,2013
HIDROLANDIA,"256425,2","205140,16","709,32","567,46","23927,98","19142,38",Abril,2013
HORIZONTE,"3626221,37","2900977,1","10030,83","8024,66","157925,88","126340,7",Abril,2013
IBARETAMA,"203742,86","162994,29","563,59","450,87","11797,61","9438,09",Abril,2013
IBIAPINA,"263793,89","211035,11","729,7","583,76","42607,51","34086,01",Abril,2013
IBICUITINGA,"232617,09","186093,67","643,46","514,77","16386,8","13109,44",Abril,2013
ICAPUI,"580991,1","464792,88","1607,13","1285,7","35134,18","28107,34",Abril,2013
ICO,"342163,05","273730,44","946,49","757,19","139016,41","111213,13",Abril,2013
IGUATU,"1252086,02","1001668,82","3463,51","2770,81","442074,69","353659,75",Abril,2013
INDEPENDENCIA,"305226,5","244181,2","844,32","675,46","38039,44","30431,55",Abril,2013
IPAPORANGA,"301059,62","240847,7","832,79","666,23","8138,77","6511,02",Abril,2013
IPAUMIRIM,"186659,51","149327,61","516,34","413,07","49186,94","39349,55",Abril,2013
IPU,"285716,89","228573,51","790,35","632,28","79081,81","63265,45",Abril,2013
IPUEIRAS,"283317,92","226654,34","783,71","626,97","36874,85","29499,88",Abril,2013
IRACEMA,"243059,11","194447,29","672,35","537,88","25925,33","20740,26",Abril,2013
IRAUCUBA,"284193,06","227354,45","786,13","628,9","26594,37","21275,5",Abril,2013
ITAICABA,"257228,05","205782,44","711,54","569,23","9816,57","7853,26",Abril,2013
ITAITINGA,"454310,35","363448,28","1256,71","1005,37","83338,99","66671,19",Abril,2013
ITAPAGE,"392168,65","313734,92","1084,81","867,85","86575,19","69260,15",Abril,2013
ITAPIPOCA,"948633,85","758907,08","2624,1","2099,28","232449,59","185959,67",Abril,2013
ITAPIUNA,"218785,32","175028,26","605,2","484,16","20713,7","16570,96",Abril,2013
ITAREMA,"437700,67","350160,54","1210,76","968,61",69830,55864,Abril,2013
ITATIRA,"180841,95","144673,56","500,24","400,19","17750,15","14200,12",Abril,2013
JAGUARETAMA,"181464,99","145171,99","501,97","401,58","22166,88","17733,5",Abril,2013
JAGUARIBARA,"216012,21","172809,77","597,53","478,02","22035,65","17628,52",Abril,2013
JAGUARIBE,"403013,76","322411,01","1114,81","891,85","98979,08","79183,26",Abril,2013
JAGUARUANA,"483128,36","386502,69","1336,43","1069,14","62580,24","50064,19",Abril,2013
JARDIM,"225315,82","180252,66","623,27","498,62","40712,3","32569,84",Abril,2013
JATI,"414249,02","331399,22","1145,89","916,71","10895,15","8716,12",Abril,2013
JIJOCA DE,"368399,06","294719,25","1019,06","815,25","29993,53","23994,82",Abril,2013
JUAZEIRO DO NORTE,"2828397,55","2262718,04","7823,9","6259,12","1226220,6","980976,48",Abril,2013
JUCAS,"269701,37","215761,1","746,05","596,84","38049,99","30439,99",Abril,2013
LAVRAS DA,"252725,6","202180,48","699,09","559,27","32931,87","26345,5",Abril,2013
LIMOEIRO DO NORTE,"715075,85","572060,68","1978,04","1582,43","199314,03","159451,22",Abril,2013
MADALENA,"184995,99","147996,79","511,73","409,38","16917,55","13534,04",Abril,2013
MARACANAU,"11712764,61","9370211,69","32399,78","25919,82","727832,46","582265,97",Abril,2013
MARANGUAPE,"1511676,14","1209340,91","4181,59","3345,27","223181,36","178545,09",Abril,2013
MARCO,"319255,75","255404,6","883,12","706,5","51257,88","41006,3",Abril,2013
MARTINOPOLE,"192843,16","154274,53","533,44","426,75","13703,01","10962,41",Abril,2013
MASSAPE,"320460,05","256368,04","886,45","709,16","48669,62","38935,7",Abril,2013
MAURITI,"340205,69","272164,55","941,07","752,86","53898,44","43118,75",Abril,2013
MERUOCA,"275746,94","220597,55","762,77","610,22","18614,26","14891,41",Abril,2013
MILAGRES,"202756,94","162205,55","560,86","448,69","41775,16","33420,13",Abril,2013
MILHA,"330959,91","264767,93","915,5","732,4","17713,72","14170,98",Abril,2013
MIRAIMA,"154442,19","123553,75","427,22","341,78","7793,63","6234,9",Abril,2013
MISSAO VELHA,"293177,1","234541,68","810,98","648,78","62422,08","49937,66",Abril,2013
MOMBACA,"261592,4","209273,92","723,62","578,9","62507,14","50005,71",Abril,2013
MONSENHOR,"291632,4","233305,92","806,71","645,37","21030,81","16824,65",Abril,2013
MORADA NOVA,"701348,47","561078,78","1940,07","1552,06","115416,77","92333,42",Abril,2013
MORAUJO,"204905,39","163924,31","566,81","453,45","7338,5","5870,8",Abril,2013
MORRINHOS,"318892,86","255114,29","882,12","705,7","21066,23","16852,98",Abril,2013
MUCAMBO,"482744,59","386195,67","1335,37","1068,3","19868,13","15894,5",Abril,2013
MULUNGU,"208346,47","166677,18","576,33","461,06","13101,28","10481,02",Abril,2013
NOVA OLINDA,"536753,26","429402,61","1484,76","1187,81","27209,14","21767,31",Abril,2013
NOVA RUSSAS,"225704,39","180563,51","624,34","499,47","54254,44","43403,55",Abril,2013
NOVO ORIENTE,"303728,37","242982,7","840,17","672,14","46225,55","36980,44",Abril,2013
OCARA,"216763,7","173410,96","599,61","479,69","30134,9","24107,92",Abril,2013
OROS,"240764,54","192611,63",666,"532,8","40301,08","32240,86",Abril,2013
GRANJA,"232708,59","186166,87","643,72","514,98","45756,35","36605,08",Abril,2013
PACAJUS,"1264906,16","1011924,93","3498,98","2799,18","187277,9","149822,32",Abril,2013
PACATUBA,"1817825,9","1454260,72","5028,46","4022,77","102196,92","81757,54",Abril,2013
PACOTI,"201162,46","160929,97","556,45","445,16","16242,44","12993,95",Abril,2013
PACUJA,"280578,57","224462,86","776,13","620,9","10707,7","8566,16",Abril,2013
PALHANO,"216143,91","172915,13","597,9","478,32","15327,5",12262,Abril,2013
PALMACIA,"210782,36","168625,89","583,06","466,45","11263,84","9011,07",Abril,2013
PARACURU,"1222275,69","977820,55","3381,05","2704,84","68987,15","55189,72",Abril,2013
PARAIPABA,"389077,65","311262,12","1076,26","861,01","45398,76","36319,01",Abril,2013
PARAMBU,"208033,37","166426,7","575,46","460,37","34573,03","27658,42",Abril,2013
PARAMOTI,"162379,29","129903,43","449,17","359,34","10955,74","8764,59",Abril,2013
PEDRA BRANCA,"350382,77","280306,22","969,23","775,38","64344,24","51475,39",Abril,2013
PENAFORTE,"396847,77","317478,22","1097,76","878,21","15930,37","12744,3",Abril,2013
PENTECOSTE,"378799,36","303039,49","1047,83","838,26","53141,15","42512,92",Abril,2013
PEREIRO,"188952,49","151161,99","522,68","418,14","25663,16","20530,53",Abril,2013
PINDORETAMA,"319303,92","255443,14","883,26","706,61","43124,15","34499,32",Abril,2013
PIQUET CARNEIRO,"221124,87","176899,9","611,67","489,34","18134,19","14507,35",Abril,2013
PIRES FERREIRA,"341662,06","273329,65","945,1","756,08","7664,91","6131,93",Abril,2013
PORANGA,"174550,71","139640,57","482,84","386,27","12180,46","9744,37",Abril,2013
PORTEIRAS,"292012,97","233610,38","807,76","646,21","21613,17","17290,54",Abril,2013
POTENGI,"169627,54","135702,03","469,22","375,38","14314,34","11451,47",Abril,2013
POTIRETAMA,"296123,62","236898,9","819,14","655,31","7789,75","6231,8",Abril,2013
QUITERIANOPOLIS,"248642,22","198913,78","687,79","550,23","21637,06","17309,65",Abril,2013
QUIXADA,"643948,49","515158,79","1781,29","1425,03","275752,36","220601,89",Abril,2013
QUIXELO,"170634,32","136507,46","472,01","377,61","22371,06","17896,85",Abril,2013
QUIXERAMOBIM,"917338,2","733870,56","2537,54","2030,03","135928,62","108742,9",Abril,2013
QUIXERE,"328604,29","262883,43","908,98","727,18","36468,78","29175,02",Abril,2013
REDENCAO,"221041,37","176833,1","611,44","489,15","45542,25","36433,8",Abril,2013
RERIUTABA,"307574,06","246059,25","850,81","680,65","27700,57","22160,46",Abril,2013
RUSSAS,"1099292,92","879434,34","3040,86","2432,69","236454,19","189163,35",Abril,2013
SABOEIRO,"221121,65","176897,32","611,67","489,34","15802,05","12641,64",Abril,2013
SALITRE,"186073,41","148858,73","514,72","411,78","6346,21","5076,97",Abril,2013
SANTA QUITERIA,"407400,6","325920,48","1126,95","901,56","78486,38","62789,1",Abril,2013
SANTANA DO,"209576,47","167661,18","579,73","463,78","29591,49","23673,19",Abril,2013
SANTANA DO CARIRI,"214576,7","171661,36","593,56","474,85","17012,19","13609,75",Abril,2013
SAO BENEDITO,"375782,21","300625,77","1039,49","831,59","113370,64","90696,51",Abril,2013
SAO GONCALO DO,"882595,06","706076,05","2441,43","1953,14","120584,89","96467,91",Abril,2013
SAO JOAO DO,"179952,37","143961,9","497,78","398,22","14003,79","11203,03",Abril,2013
SAO LUIS DO CURU,"213810,75","171048,6","591,44","473,15","14601,32","11681,06",Abril,2013
SENADOR POMPEU,"322056,16","257644,93","890,87","712,7","40376,65","32301,32",Abril,2013
SENADOR SA,"353936,27","283149,02","979,06","783,25","9149,63","7319,7",Abril,2013
SOBRAL,"6196074,16","4956859,33","17139,54","13711,63","922634,76","738107,81",Abril,2013
SOLONOPOLE,"383534,67","306827,74","1060,93","848,74","25600,28","20480,22",Abril,2013
TABULEIRO DO,"354989,62","283991,7","981,97","785,58","92422,44","73937,95",Abril,2013
TAMBORIL,"267684,57","214147,66","740,47","592,38","32582,63","26066,1",Abril,2013
TARRAFAS,"378396,34","302717,07","1046,72","837,38","8820,06","7056,05",Abril,2013
TAUA,"366762,84","293410,27","1014,54","811,63","116360,49","93088,39",Abril,2013
TEJUCUOCA,"188276,46","150621,17","520,81","416,65","12815,28","10252,22",Abril,2013
TIANGUA,"811294,31","649035,45","2244,2","1795,36","301563,93","241251,14",Abril,2013
TRAIRI,"312370,39","249896,31","864,08","691,26","59785,25","47828,2",Abril,2013
TURURU,"240266,75","192213,4","664,62","531,7","14170,85","11336,68",Abril,2013
UBAJARA,"374677,45","299741,96","1036,43","829,14","78091,08","62472,86",Abril,2013
UMARI,"174895,94","139916,75","483,8","387,04","6564,81","5251,85",Abril,2013
UMIRIM,"192864,05","154291,24","533,5","426,8","17216,98","13773,58",Abril,2013
URUBURETAMA,"284368,09","227494,47","786,62","629,3","22746,41","18197,13",Abril,2013
URUOCA,"248454,37","198763,5","687,27","549,82","16906,92","13525,54",Abril,2013
VARJOTA,"301456,25",241165,"833,89","667,11","42055,93","33644,74",Abril,2013
VARZEA ALEGRE,"277012,25","221609,8","766,27","613,02","75279,39","60223,51",Abril,2013
VICOSA DO CEARA,"322351,57","257881,26","891,69","713,35","73347,53","58678,02",Abril,2013
ABAIARA,"535227,05","428181,64","1806,34","1445,07","12055,99","9644,79",Abril,2014
ACARAPE,"224772,5",179818,"758,58","606,86","25396,71","20317,37",Abril,2014
ACARAU,"671476,37","537181,1","2266,16","1812,93","138119,63","110495,7",Abril,2014
ACOPIARA,"318771,62","255017,3","1075,82","860,66","93559,6","74847,68",Abril,2014
AIUABA,"198152,95","158522,36","668,75",535,"10845,5","8676,4",Abril,2014
ALCANTARAS,"281217,82","224974,26","949,08","759,26","13746,6","10997,28",Abril,2014
ALTANEIRA,"256464,15","205171,32","865,54","692,43","13248,24","10598,59",Abril,2014
ALTO SANTO,"242364,27","193891,42","817,95","654,36",29328,"23462,4",Abril,2014
AMONTADA,"350826,56","280661,25",1184,"947,2","50425,59","40340,47",Abril,2014
ANTONINA DO,"379289,06","303431,25","1280,06","1024,05","10573,56","8458,85",Abril,2014
APUIARES,"184298,22","147438,58","621,99","497,59","14283,16","11426,53",Abril,2014
AQUIRAZ,"2357467,71","1885974,17","7956,21","6364,97","235311,13","188248,9",Abril,2014
ARACATI,1600207,"1280165,6","5400,53","4320,42","215773,77","172619,02",Abril,2014
ARACOIABA,"195512,86","156410,29","659,84","527,87","39697,16","31757,73",Abril,2014
ARARENDA,"139046,37","111237,1","469,27","375,42","13204,01","10563,21",Abril,2014
ARARIPE,"278122,75","222498,2","938,64","750,91","27641,18","22112,94",Abril,2014
ARATUBA,"223414,55","178731,64",754,"603,2","10395,89","8316,71",Abril,2014
ARNEIROZ,"202909,36","162327,49","684,8","547,84","8284,08","6627,26",Abril,2014
ASSARE,"254070,95","203256,76","857,46","685,97","33152,97","26522,38",Abril,2014
AURORA,"229431,91","183545,53","774,31","619,45","31271,67","25017,34",Abril,2014
BAIXIO,"369047,9","295238,32","1245,5","996,4","10733,67","8586,94",Abril,2014
BANABUIU,"337502,67","270002,14","1139,04","911,23","28777,79","23022,23",Abril,2014
BARBALHA,"1062893,61","850314,89","3587,15","2869,72","173895,88","139116,7",Abril,2014
BARREIRA,"295509,94","236407,95","997,32","797,86","40602,34","32481,87",Abril,2014
BARRO,"181213,71","144970,97","611,58","489,26","29233,44","23386,75",Abril,2014
BARROQUINHA,"215755,31","172604,25","728,15","582,52","13169,02","10535,22",Abril,2014
BATURITE,"298208,19","238566,55","1006,42","805,14","80509,03","64407,22",Abril,2014
BEBERIBE,"572149,49","457719,59","1930,94","1544,75","96120,45","76896,36",Abril,2014
BELA CRUZ,"274017,11","219213,69","924,78","739,82","49017,98","39214,38",Abril,2014
BOA VIAGEM,"310551,55","248441,24","1048,08","838,46","91182,92","72946,34",Abril,2014
BREJO SANTO,"753730,02","602984,02","2543,76","2035,01","169288,48","135430,78",Abril,2014
CAMOCIM,"590134,54","472107,63","1991,64","1593,31","119413,77","95531,02",Abril,2014
CAMPOS SALES,"387099,99","309679,99","1306,42","1045,14","61311,12","49048,9",Abril,2014
CANINDE,"424935,94","339948,75","1434,11","1147,29","171521,73","137217,38",Abril,2014
CAPISTRANO,"220793,86","176635,09","745,16","596,13","25695,93","20556,74",Abril,2014
CARIDADE,"239766,52","191813,22","809,19","647,35","19183,63","15346,9",Abril,2014
CARIRE,"414264,49","331411,59","1398,1","1118,48","20558,35","16446,68",Abril,2014
CARIRIACU,"221307,05","177045,64","746,89","597,51","33694,83","26955,86",Abril,2014
CARIUS,"236614,96","189291,97","798,55","638,84","24093,53","19274,82",Abril,2014
CARNAUBAL,"262650,8","210120,64","886,42","709,14","21161,22","16928,98",Abril,2014
CASCAVEL,"617567,1","494053,68","2084,22","1667,38","160186,36","128149,09",Abril,2014
CATARINA,"238653,69","190922,95","805,43","644,34","26028,98","20823,18",Abril,2014
CATUNDA,"255756,94","204605,55","863,15","690,52","10619,45","8495,56",Abril,2014
CAUCAIA,"5636393,01","4509114,41","19022,24","15217,79","1084104,75","867283,8",Abril,2014
CEDRO,"285990,1","228792,08","965,19","772,15","38687,34","30949,87",Abril,2014
CHAVAL,"268209,62","214567,7","905,18","724,14","8646,86","6917,49",Abril,2014
CHORO,"171402,9","137122,32","578,47","462,78","10772,72","8618,18",Abril,2014
CHOROZINHO,"226809,45","181447,56","765,46","612,37","42227,33","33781,86",Abril,2014
COREAU,"251379,72","201103,78","848,38","678,7","34099,74","27279,79",Abril,2014
CRATEUS,"538602,56","430882,05","1817,73","1454,18","226777,72","181422,18",Abril,2014
CRATO,"1489951,17","1191960,94","5028,43","4022,74","579628,88","463703,1",Abril,2014
CROATA,"224437,42","179549,94","757,45","605,96","19981,75","15985,4",Abril,2014
CRUZ,"344613,44","275690,75","1163,03","930,42","65801,1","52640,88",Abril,2014
DEPUTADO IRAPUAN,"313422,67","250738,14","1057,77","846,22","10339,56","8271,65",Abril,2014
ERERE,"342643,51","274114,81","1156,39","925,11","3771,26","3017,01",Abril,2014
EUSEBIO,"3556834,66","2845467,73","12003,94","9603,15","488265,54","390612,43",Abril,2014
FARIAS BRITO,"476880,6","381504,48","1609,42","1287,54","28439,55","22751,64",Abril,2014
FORQUILHA,"356648,15","285318,52","1203,65","962,92","46805,13","37444,1",Abril,2014
FORTALEZA,"67659933,96","54127947,17","228345,18","182676,14","23500422,88","18800338,3",Abril,2014
FORTIM,"308951,96","247161,57","1042,68","834,14","32337,14","25869,71",Abril,2014
FRECHEIRINHA,"290887,56","232710,05","981,72","785,38","25377,02","20301,62",Abril,2014
GENERAL SAMPAIO,"249757,22","199805,78","842,9","674,32","7053,85","5643,08",Abril,2014
GRACA,"291704,09","233363,27","984,47","787,58","10144,06","8115,25",Abril,2014
GRANJEIRO,"251323,27","201058,62","848,19","678,55",5141,"4112,8",Abril,2014
GROAIRAS,"336740,79","269392,63","1136,46","909,17","20434,96","16347,97",Abril,2014
GUAIUBA,"319057,32","255245,86","1076,78","861,42","31241,53","24993,22",Abril,2014
GUARACIABA,"480328,4","384262,72","1621,06","1296,85","131932,8","105546,24",Abril,2014
GUARAMIRANGA,"196555,15","157244,12","663,35","530,68","12674,82","10139,86",Abril,2014
HIDROLANDIA,"283642,76","226914,21","957,26","765,81","24881,52","19905,22",Abril,2014
HORIZONTE,"3518413,19","2814730,55","11874,28","9499,42","188425,13","150740,1",Abril,2014
IBARETAMA,"182278,91","145823,13","615,17","492,14","14320,19","11456,15",Abril,2014
IBIAPINA,"241463,07","193170,46","814,91","651,93","39872,2","31897,76",Abril,2014
IBICUITINGA,"259169,49","207335,59","874,67","699,74","16957,36","13565,89",Abril,2014
ICAPUI,"641128,6","512902,88","2163,74","1730,99","49445,53","39556,42",Abril,2014
ICO,"355930,36","284744,29","1201,23","960,98","134250,23","107400,18",Abril,2014
IGUATU,"1341226,24","1072980,99","4526,5","3621,2","472583,86","378067,09",Abril,2014
INDEPENDENCIA,"393022,11","314417,69","1326,41","1061,13","52717,95","42174,36",Abril,2014
IPAPORANGA,"183767,39","147013,91","620,2","496,16","11131,5","8905,2",Abril,2014
IPAUMIRIM,"296619,24","237295,39","1001,06","800,85","52861,82","42289,46",Abril,2014
IPU,"308773,86","247019,09","1042,08","833,66","95095,67","76076,54",Abril,2014
IPUEIRAS,"343241,4","274593,12","1158,4","926,72","44067,94","35254,35",Abril,2014
IRACEMA,"234248,24","187398,59","790,56","632,45","27060,21","21648,17",Abril,2014
IRAUCUBA,"237121,12","189696,9","800,26","640,21","26995,96","21596,77",Abril,2014
ITAICABA,"315247,97","252198,38","1063,93","851,14","13136,89","10509,51",Abril,2014
ITAITINGA,"529610,06","423688,05","1787,38","1429,9","104550,55","83640,44",Abril,2014
ITAPAGE,"395521,1","316416,88","1334,84","1067,87","91924,02","73539,22",Abril,2014
ITAPIPOCA,"974326,35","779461,08","3288,25","2630,6","258695,15","206956,12",Abril,2014
ITAPIUNA,"219166,07","175332,86","739,66","591,73","22791,19","18232,95",Abril,2014
ITAREMA,"380096,76","304077,41","1282,79","1026,23","73863,16","59090,53",Abril,2014
ITATIRA,"223594,44","178875,55","754,61","603,69","20560,85","16448,68",Abril,2014
JAGUARETAMA,"240505,44","192404,35","811,68","649,34","27368,3","21894,64",Abril,2014
JAGUARIBARA,"256573,5","205258,8","865,91","692,73","26505,72","21204,58",Abril,2014
JAGUARIBE,"488114,62","390491,7","1647,34","1317,87","107312,11","85849,69",Abril,2014
JAGUARUANA,"482321,29","385857,03","1627,78","1302,22","67111,41","53689,13",Abril,2014
JARDIM,"250885,91","200708,73","846,71","677,37","45349,83","36279,86",Abril,2014
JATI,"350897,07","280717,66","1184,24","947,39","9609,77","7687,82",Abril,2014
JIJOCA DE,"484259,44","387407,55","1634,32","1307,46","49000,85","39200,68",Abril,2014
JUAZEIRO DO NORTE,"3406762,32","2725409,86","11497,47","9197,98","1272999,38","1018399,5",Abril,2014
JUCAS,"297031,89","237625,51","1002,45","801,96","32001,97","25601,58",Abril,2014
LAVRAS DA,"262848,34","210278,67","887,09","709,67","35706,67","28565,34",Abril,2014
LIMOEIRO DO NORTE,"852877,05","682301,64","2878,37","2302,7","224741,43","179793,14",Abril,2014
MADALENA,"223157,06","178525,65","753,13","602,5","17581,87","14065,5",Abril,2014
MARACANAU,"13691081,6","10952865,28","46205,96","36964,77","832878,69","666302,95",Abril,2014
MARANGUAPE,"1587763,15","1270210,52","5358,53","4286,82","262318,36","209854,69",Abril,2014
MARCO,"418087,95","334470,36",1411,"1128,8","65947,6","52758,08",Abril,2014
MARTINOPOLE,"307914,97","246331,98","1039,18","831,34","11549,06","9239,25",Abril,2014
MASSAPE,"320568,7","256454,96","1081,89","865,51","45251,02","36200,82",Abril,2014
MAURITI,"344008,54","275206,83","1160,99","928,79","64262,57","51410,06",Abril,2014
MERUOCA,"394094,36","315275,49","1330,03","1064,02","21473,77","17179,02",Abril,2014
MILAGRES,"229241,45","183393,16","773,67","618,94","46696,85","37357,48",Abril,2014
MILHA,"270678,66","216542,93","913,51","730,81","22587,28","18069,82",Abril,2014
MIRAIMA,"179123,85","143299,08","604,52","483,62","8402,18","6721,74",Abril,2014
MISSAO VELHA,"268562,34","214849,87","906,37","725,1","70979,95","56783,96",Abril,2014
MOMBACA,"294014,4","235211,52","992,27","793,82","68677,53","54942,02",Abril,2014
MONSENHOR,"270015,52","216012,42","911,27","729,02","24442,63","19554,1",Abril,2014
MORADA NOVA,"761759,64","609407,71","2570,86","2056,69","119285,02","95428,02",Abril,2014
MORAUJO,"308775,6","247020,48","1042,09","833,67","9116,48","7293,18",Abril,2014
MORRINHOS,"370271,85","296217,48","1249,63","999,7","20808,87","16647,1",Abril,2014
MUCAMBO,"413539,66","330831,73","1395,65","1116,52","20290,63","16232,5",Abril,2014
MULUNGU,"217716,41","174173,13","734,77","587,82","13041,42","10433,14",Abril,2014
NOVA OLINDA,"495177,79","396142,23","1671,17","1336,94","32450,31","25960,25",Abril,2014
NOVA RUSSAS,"261216,99","208973,59","881,58","705,26","58314,67","46651,74",Abril,2014
NOVO ORIENTE,"419548,2","335638,56","1415,93","1132,74","44147,52","35318,02",Abril,2014
OCARA,"289732,42","231785,94","977,82","782,26","35210,05","28168,04",Abril,2014
OROS,"226685,99","181348,79","765,04","612,03","50352,52","40282,02",Abril,2014
GRANJA,"252681,26","202145,01","852,77","682,22","54130,43","43304,34",Abril,2014
PACAJUS,"1387291,07","1109832,86","4681,96","3745,57","218912,89","175130,31",Abril,2014
